Element,xc,yc,S11,S22,S12,E11,E22,G12
295,0.152777777777778,0.0533333333333333,100592225.989465,3272218.81883029,-183729.696039761,0.000474336001637218,-0.000128121185609568,-2.27474861763514e-06
296,0.138888888888889,0.0666666666666667,101757686.403883,7185066.6776643,-1496013.40921711,0.000474296030478968,-0.000111153520207145,-1.85220707807832e-05
297,0.194444444444444,0.0533333333333333,101280103.058956,1408083.02158779,268149.460058467,0.000480274657868953,-0.000137980704267139,3.31994569596197e-06
298,0.180555555555556,0.0666666666666667,101572045.788805,3566164.7586324,-353921.858710388,0.00047858188743436,-0.000128121185609568,-4.38188967927147e-06
299,0.236111111111111,0.0533333333333333,101438598.77592,382023.121280983,454318.821702008,0.000482495199235885,-0.000143093126245215,5.62489969726295e-06
300,0.222222222222222,0.0666666666666667,101233399.29475,1394071.89232579,261761.294672763,0.000480072274890724,-0.000137980704267139,3.24085412451992e-06
301,0.277777777777778,0.0533333333333333,101306126.521064,-120305.313285764,477394.395846765,0.000482581991024046,-0.000145295920331452,5.91059728191233e-06
302,0.263888888888889,0.0666666666666667,100886682.537293,216448.249692839,515114.787028819,0.000480103562201835,-0.000143093126245215,6.37761164892824e-06
303,0.319444444444444,0.0533333333333333,101054666.283083,-318008.773012485,419853.744342308,0.000481666994833271,-0.000145878136466369,5.19818921566667e-06
304,0.305555555555556,0.0666666666666667,100594218.605282,-333877.688020255,557276.509330852,0.000479497056722325,-0.000145295920331452,6.89961392504865e-06
305,0.361111111111111,0.0533333333333333,100786447.121373,-353900.899726342,333955.830374359,0.000480441035196623,-0.000145665881124468,4.13469123320635e-06
306,0.347222222222222,0.0666666666666667,100373123.635371,-522471.567326207,495747.230844068,0.000478713643359851,-0.000145878136466369,6.13782285806941e-06
307,0.402777777777778,0.0533333333333333,100551172.175807,-314864.142236937,247846.174151775,0.000479264911516561,-0.000145143884737995,3.06857167997436e-06
308,0.388888888888889,0.0666666666666667,100218616.443402,-524250.103117585,396389.85876429,0.000477980435592083,-0.000145665881124468,4.90768396565312e-06
309,0.444444444444444,0.0533333333333333,100365952.061077,-249831.824066792,174126.84051343,0.000478290007658557,-0.000144569606868523,2.15585612064247e-06
310,0.430555555555556,0.0666666666666667,100117562.662167,-444946.996328734,294719.10372541,0.000477385936957457,-0.000145143884737995,3.64890318898126e-06
311,0.486111111111111,0.0533333333333333,100230591.960795,-183742.545914248,116557.072751311,0.000477551022497949,-0.000144061524448347,1.44308756739719e-06
312,0.472222222222222,0.0666666666666667,100055574.700888,-342945.032123581,206937.182252924,0.000476945039097737,-0.000144569606868523,2.56207939932192e-06
313,0.527777777777778,0.0533333333333333,100137353.984405,-127385.7896161,74436.3098016402,0.000477026522482334,-0.000143659961833037,9.21592407067927e-07
314,0.513888888888889,0.0666666666666667,100020171.361383,-246868.725737847,138160.093656793,0.000476639199900497,-0.000144061524448347,1.71055354051267e-06
315,0.569444444444445,0.0533333333333333,100076444.60748,-83848.7075136043,45205.2082923989,0.000476674281998732,-0.000143365628998845,5.59683531239225e-07
316,0.555555555555555,0.0666666666666667,100001754.574325,-168065.612640243,87828.9907503188,0.000476438925038652,-0.000143659961833037,1.0874065521468e-06
317,0.611111111111111,0.0533333333333333,100038706.893724,-52467.1074141972,25861.3719519424,0.00047644974774261,-0.000143162281788245,3.20188414643097e-07
318,0.597222222222222,0.0666666666666667,99993521.4686218,-108725.649170972,52969.8929157829,0.000476314948397015,-0.000143365628998845,6.55817721814455e-07
319,0.652777777777778,0.0533333333333333,100016673.092344,-31086.0985125378,13645.5166855201,0.000476314280580464,-0.000143028990601027,1.68944492296916e-07
320,0.638888888888889,0.0666666666666667,99990957.1171355,-66792.0403907299,29992.0054090577,0.00047624283204406,-0.000143162281788245,3.7132959077881e-07
321,0.694444444444445,0.0533333333333333,100004750.179665,-17247.7251893952,6307.49116100343,0.000476237735701056,-0.000142946060852804,7.80927477076615e-08
322,0.680555555555555,0.0666666666666667,99991242.9292925,-38715.1474278644,15569.0758775733,0.000476204083207242,-0.000143028990601027,1.92759987055669e-07
323,0.736111111111111,0.0533333333333333,99999007.6014004,-8737.76358450204,2149.38572841492,0.000476198233002266,-0.000142897333542879,2.66114423518038e-08
324,0.722222222222222,0.0666666666666667,99992730.546581,-20853.6151145585,6986.23990086644,0.000476185650624359,-0.000142946060852804,8.64963035345368e-08
325,0.777777777777778,0.0533333333333333,99996828.9515113,-3774.65658891946,-35.1325910070763,0.000476180768326133,-0.000142870587343059,-4.34974936278087e-10
326,0.763888888888889,0.0666666666666667,99994530.2923457,-10080.9563009292,2201.69504525363,0.000476178831329695,-0.000142897333542879,2.7259081512664e-08
327,0.819444444444445,0.0533333333333333,99996559.1879342,-1015.31650641561,-1057.68437664038,0.000476175541823267,-0.000142857062251841,-1.30951399012619e-08
328,0.805555555555555,0.0666666666666667,99996214.0836496,-3959.11694744974,-224.528845595799,0.000476178103898732,-0.000142870587343059,-2.7798809454718e-09
329,0.861111111111111,0.0533333333333333,99997203.092039,520.521683216095,-1433.00506879388,0.000476176413978733,-0.000142850668599659,-1.77419675184004e-08
330,0.847222222222222,0.0666666666666667,99997612.95667,-699.185885686427,-1248.05916839226,0.000476180108154456,-0.000142857062251841,-1.54521611324756e-08
331,0.902777777777778,0.0533333333333333,99998189.6341263,1553.36824203655,-1460.61350212184,0.000476179636303113,-0.000142847159628552,-1.80837862167466e-08
332,0.888888888888889,0.0666666666666667,99998685.9355148,965.374725960195,-1458.04427602369,0.000476182839633795,-0.000142850668599659,-1.80519767507695e-08
333,0.944444444444445,0.0533333333333333,99999195.3723948,2662.05433223397,-1278.9391655897,0.000476182841695691,-0.000142843316939934,-1.58344849073011e-08
334,0.930555555555555,0.0666666666666667,99999444.0579135,1929.69537819549,-1168.64053617947,0.000476185072139524,-0.000142847159628552,-1.44688828288887e-08
335,0.986111111111111,0.0533333333333333,100000002.865694,4452.75783900917,-883.013594635433,0.00047618412875401,-0.000142835943342234,-1.09325492669149e-08
336,0.972222222222222,0.0666666666666667,99999903.3334259,2874.44264157861,-461.100808683623,0.000476185909526826,-0.000142843316939934,-5.70886715513057e-09
337,0.0277777777777778,0.0933333333333333,93831153.3606321,16552573.5310748,-5991187.35683999,0.000423168482387189,-5.52227260814991e-05,-7.41766053703999e-05
338,0.0138888888888889,0.106666666666667,99854840.8018032,29956452.240541,-11075365.7796125,0.000432704310141147,0,-0.000137123576319012
339,0.0694444444444444,0.0933333333333333,97046311.530846,9344268.99248067,-4141165.57925732,0.000448776337300484,-9.41410688893957e-05,-5.1271573838424e-05
340,0.0555555555555556,0.106666666666667,101670913.972557,18904501.7146523,-7862573.03868384,0.000457140778372196,-5.52227260814991e-05,-9.73461423837047e-05
341,0.111111111111111,0.0933333333333333,99189702.2592295,4980931.17984897,-2142623.43938291,0.000465216299548928,-0.000117980854751999,-2.65277187733123e-05
342,0.0972222222222222,0.106666666666667,101612349.75932,10714080.4610229,-4272655.29532969,0.000468562502957205,-9.41410688893957e-05,-5.2899541751701e-05
343,0.152777777777778,0.0933333333333333,100335429.749442,2444211.16286099,-691927.978662324,0.000474296030478968,-0.000131697227437959,-8.56672735486687e-06
344,0.138888888888889,0.106666666666667,101034286.948981,5534306.58677451,-1664059.57983043,0.000473209499871186,-0.000117980854751999,-2.06026424169482e-05
345,0.194444444444444,0.0933333333333333,100809801.896957,1025351.78580603,149073.567418059,0.000478581887434359,-0.000139131375158482,1.84567273946168e-06
346,0.180555555555556,0.106666666666667,100489402.679498,2490403.04187796,-122905.847228697,0.000474963246509213,-0.000131697227437959,-1.52169144187911e-06
347,0.236111111111111,0.0933333333333333,100898248.217261,276901.634030677,531059.26242591,0.000480072274890724,-0.000142821775386418,6.57501943955889e-06
348,0.222222222222222,0.106666666666667,100122099.389778,819041.033652328,621029.354114798,0.000475601843236584,-0.000139131375158482,7.68893486046893e-06
349,0.277777777777778,0.0933333333333333,100797788.812146,-79864.1674657948,629495.27755753,0.000480103562201835,-0.000144377146719569,7.79375105547419e-06
350,0.263888888888889,0.106666666666667,99921415.4696756,-16148.1902450062,867663.462374534,0.00047583933298452,-0.000142821775386418,1.07425000103514e-05
351,0.319444444444444,0.0933333333333333,100629040.738808,-217803.909602582,580885.398159465,0.000479497056722325,-0.000144792933958309,7.1919144534029e-06
352,0.305555555555556,0.106666666666667,99836907.3602722,-368128.603027795,847939.152755266,0.00047593974257705,-0.000144377146719569,1.04982942722081e-05
353,0.361111111111111,0.0933333333333333,100457195.304759,-242232.669364657,473209.117679216,0.000478713643359851,-0.000144663767908535,5.85877955221886e-06
354,0.347222222222222,0.106666666666667,99820923.4570562,-460239.09412799,711938.364827962,0.000475995215168069,-0.000144792933958309,8.81447499310811e-06
355,0.402777777777778,0.0933333333333333,100311412.744507,-214929.099432755,355583.144292423,0.000477980435592082,-0.0001443254901085,4.40245797695381e-06
356,0.388888888888889,0.106666666666667,99839256.4632032,-427614.321831483,545414.733592213,0.000476035908379775,-0.000144663767908535,6.75275384447502e-06
357,0.444444444444444,0.0933333333333333,100200046.136201,-170002.082884558,251297.353072694,0.000477385936957457,-0.000143952456779737,3.1113005618524e-06
358,0.430555555555556,0.106666666666667,99870630.5602007,-347163.754724767,390905.707545273,0.000476070379460086,-0.0001443254901085,4.83978495056052e-06
359,0.486111111111111,0.0933333333333333,100121075.415564,-124609.316535648,168497.214295621,0.000476945039097737,-0.000143623485434309,2.08615598651721e-06
360,0.472222222222222,0.106666666666667,99903333.0942615,-259015.995466292,265087.004332429,0.000476100180442388,-0.000143952456779737,3.28202957744912e-06
361,0.527777777777778,0.0933333333333333,100068409.637963,-86074.4704705663,107452.406102849,0.000476639199900497,-0.000143364749342188,1.33036312317814e-06
362,0.513888888888889,0.106666666666667,99931863.3566869,-181372.934198771,170766.304533443,0.000476125120175936,-0.000143623485434309,2.11424948469977e-06
363,0.569444444444445,0.0933333333333333,100035246.715593,-56425.1417471804,64981.2034388518,0.000476438925038652,-0.000143176186459167,8.04529185433403e-07
364,0.555555555555555,0.106666666666667,99954368.8114047,-120286.718438122,104329.415501799,0.00047614502298541,-0.000143364749342188,1.29169752526037e-06
365,0.611111111111111,0.0933333333333333,100015598.019821,-35137.145172108,36899.0570599561,0.000476314948397015,-0.000143046745481517,4.56845468361361e-07
366,0.597222222222222,0.106666666666667,99970911.7864418,-75725.6204924397,59960.4271858265,0.000476160140345665,-0.000143176186459167,7.42367193729281e-07
367,0.652777777777778,0.0933333333333333,100004787.603258,-20690.4199835956,19225.9240967856,0.00047624283204406,-0.000142962508099814,2.38035250722107e-07
368,0.638888888888889,0.106666666666667,99982398.4271237,-45097.0229814425,31794.0976303115,0.000476171083495324,-0.000143046745481517,3.93641208756238e-07
369,0.694444444444445,0.0933333333333333,99999443.8124517,-11378.8702313565,8673.56135181857,0.000476204083207243,-0.000142910533399842,1.07386950070135e-07
370,0.680555555555555,0.106666666666667,99989973.8519647,-25134.5453714803,14844.327970013,0.000476178639121791,-0.000142962508099814,1.83786917723971e-07
371,0.736111111111111,0.0933333333333333,99997283.1770595,-5678.18018612638,2750.12810895542,0.000476185650624359,-0.000142880300634781,3.40492051584956e-08
372,0.722222222222222,0.106666666666667,99994718.5411518,-12796.4516213126,5266.26708982119,0.000476183607031611,-0.000142910533399842,6.52014020644529e-08
373,0.777777777777778,0.0933333333333333,99996843.9821375,-2368.65699486807,-314.054945050569,0.000476178831329695,-0.00014286391357922,-3.88829931967372e-09
374,0.763888888888889,0.106666666666667,99997524.5746601,-5605.76090594009,294.823856570955,0.000476186696680628,-0.000142880300634781,3.65020012897373e-09
375,0.819444444444445,0.0933333333333333,99997241.6991163,-533.73205954954,-1704.6654729618,0.000476178103898734,-0.000142855744008545,-2.11053820461937e-08
376,0.805555555555555,0.106666666666667,99999069.6537857,-1700.95550041273,-1943.85444394707,0.000476188475906837,-0.00014286391357922,-2.40667693060114e-08
377,0.861111111111111,0.0933333333333333,99997971.4019406,495.631683256477,-2166.17133321207,0.000476180108154456,-0.000142851884709043,-2.68192641254827e-08
378,0.847222222222222,0.106666666666667,99999837.0206633,244.86440455541,-2644.51088370399,0.000476189350292104,-0.000142855744008545,-3.27415633220494e-08
379,0.902777777777778,0.0933333333333333,99998758.9063374,1208.61080138758,-2122.09715839348,0.000476182839633795,-0.000142849614576666,-2.6273583865824e-08
380,0.888888888888889,0.106666666666667,100000151.093733,1149.53922110796,-2510.94192225074,0.000476189553485558,-0.000142851884709043,-3.10878523707234e-08
381,0.944444444444445,0.0933333333333333,99999453.2654224,1960.38707451895,-1757.61185555654,0.000476185072139524,-0.000142847026631201,-2.17609086878429e-08
382,0.930555555555555,0.106666666666667,100000219.268126,1646.71933809668,-1901.53910376416,0.000476189167868214,-0.000142849614576666,-2.35428650942229e-08
383,0.986111111111111,0.0933333333333333,99999948.8565104,3026.18625641242,-1024.91125710567,0.000476185909526826,-0.00014284265938427,-1.26893774689274e-08
384,0.972222222222222,0.106666666666667,100000230.239128,2193.47918611765,-899.100053845903,0.00047618843902558,-0.000142847026631201,-1.11317149523778e-08
385,0.0277777777777778,0.133333333333333,94839756.7543248,13239505.4156128,-9075709.34102651,0.000432704310141147,-7.24401029080221e-05,-0.000112365925174614
386,0.0138888888888889,0.146666666666667,105339612.747639,31601883.8242918,-16692259.9127884,0.00045647165523977,0,-0.000206666075110714
