element,integration_point,centroid_x,centroid_y,S11,S22,S12
258,1,0.416666666666667,0.333333333333333,99624051.35733482,-324303.9704780765,473208.2358989
259,1,0.48333332935969,0.316666672627131,100065413.14777873,-91835.06902959198,182662.06476933399
260,1,0.466666658719381,0.333333333333333,99768965.88884412,-231890.40784841403,300182.04185146466
261,1,0.533333341280619,0.316666672627131,100031404.5797995,-60790.279311615974,108639.90515282354
262,1,0.51666667064031,0.333333333333333,99867580.92175066,-151184.73683802038,177083.26599031634
263,1,0.583333353201548,0.316666672627131,100012290.689455,-37338.03121647984,60077.905623652856
264,1,0.566666682561239,0.333333333333333,99929827.69596285,-91263.34446261078,96797.84292209787
265,1,0.633333325386047,0.316666672627131,100002668.99973753,-21359.322397723794,30393.630814864377
266,1,0.616666674613953,0.333333333333333,99966461.91565728,-51086.66335579008,48145.20484285633
267,1,0.683333317438761,0.316666672627131,99998548.48573622,-11293.962023299187,13440.63476141355
268,1,0.666666646798452,0.333333333333333,99986454.36316481,-26223.71336954832,20716.292273202787
269,1,0.73333332935969,0.316666672627131,99997322.02875,-5377.345331527293,4448.892922048646
270,1,0.716666658719381,0.333333333333333,99996361.42584546,-11950.079990528524,6477.097505457159
271,1,0.783333341280619,0.316666672627131,99997443.78941087,-2116.777094513178,99.5015638893121
272,1,0.76666667064031,0.333333333333333,100000565.6840699,-4404.248735554516,-125.1524098698391
273,1,0.833333353201548,0.316666672627131,99998079.72117293,-394.5600678808987,-1724.989898537829
274,1,0.816666682561239,0.333333333333333,100001796.90999883,-810.8409181274474,-2613.697131892812
275,1,0.883333325386047,0.316666672627131,99998823.624655,590.950157828629,-2249.6352683343057
276,1,0.866666674613953,0.333333333333333,100001659.01021416,679.2266444936395,-3036.77422603431
277,1,0.933333317438761,0.316666672627131,99999488.68443622,1431.254211269319,-2062.2490293767714
278,1,0.916666646798452,0.333333333333333,100001058.71274997,1261.4765863083303,-2439.2401213663475
279,1,0.98333332935969,0.316666672627131,99999955.9951655,2483.3203019835055,-1270.0724049586952
280,1,0.966666658719381,0.333333333333333,100000501.86721508,1735.2090449258685,-1215.6237756194887
281,1,0.0333333338300387,0.366666664679845,96310996.92934029,7456708.1445156075,-9697157.055808868
282,1,0.0166666669150194,0.383333335320155,117022047.99658574,35106614.39897572,-22717415.580358934
283,1,0.0833333345750968,0.366666664679845,98640552.08975251,3199186.442123499,-4304318.2594151115
284,1,0.0666666676600774,0.383333335320155,100896560.7349177,8832377.28618883,-6428333.901645969
285,1,0.133333337803682,0.366666664679845,98788305.80108291,1441186.4949355386,-1526256.6472650408
286,1,0.116666669646899,0.383333335320155,95671594.13639969,2308499.05611765,-920649.4752040908
287,1,0.183333337306976,0.366666664679845,98706773.42207499,596075.6048320681,-278522.98629439826
288,1,0.16666667163372,0.383333335320155,94957955.63425249,292081.44488640875,812618.1752274099
289,1,0.233333334326744,0.366666664679845,98806733.19259143,191582.08591873944,208657.18736021608
