Node,x,y,Ux,Uy
118,0.708333333333333,0.16,0.000334719956913943,8.34163941523472e-06
119,0.75,0.16,0.000354561772904429,8.49423345405162e-06
120,0.791666666666667,0.16,0.000374402832294929,8.64786129320811e-06
121,0.833333333333333,0.16,0.000394243631470029,8.80211270183855e-06
122,0.875,0.16,0.000414084423257445,8.95670236605138e-06
123,0.916666666666667,0.16,0.000433925308762664,9.11142956347627e-06
124,0.958333333333333,0.16,0.00045376629050757,9.26613596295574e-06
125,1,0.16,0.00047360729343404,9.42065172921463e-06
126,0,0.2,0,0
127,0.0416666666666667,0.2,1.74268391578166e-05,6.12965260456172e-08
128,0.0833333333333333,0.2,3.58978499273698e-05,1.57586586950225e-07
129,0.125,0.2,5.51723663403169e-05,3.12393081897127e-07
130,0.166666666666667,0.2,7.49602659305366e-05,5.03033799621836e-07
131,0.208333333333333,0.2,9.50129332009034e-05,6.9964886563226e-07
132,0.25,0.2,0.000115160034313537,8.86372143141696e-07
133,0.291666666666667,0.2,0.00013530530529048,1.06052917871014e-06
134,0.333333333333333,0.2,0.000155404987488998,1.2251694797016e-06
135,0.375,0.2,0.000175446399959201,1.3840951332159e-06
136,0.416666666666667,0.2,0.000195432674078754,1.54012894812492e-06
137,0.458333333333333,0.2,0.00021537341510781,1.69495399595142e-06
138,0.5,0.2,0.000235279603132255,1.84942552549563e-06
139,0.541666666666667,0.2,0.000255161164394289,2.00390761839077e-06
140,0.583333333333333,0.2,0.000275026078597185,2.15851299611128e-06
141,0.625,0.2,0.000294880287032469,2.31324494169236e-06
142,0.666666666666667,0.2,0.000314727960331271,2.46807059816459e-06
143,0.708333333333333,0.2,0.000334571880674041,2.62295369141398e-06
144,0.75,0.2,0.000354413815350016,2.77786609292407e-06
145,0.791666666666667,0.2,0.00037425482974765,2.93278969006873e-06
146,0.833333333333333,0.2,0.000394095526237129,3.08771455174309e-06
147,0.875,0.2,0.000413936213759856,3.24263603982206e-06
148,0.916666666666667,0.2,0.000433777019537285,3.39755133277136e-06
149,0.958333333333333,0.2,0.000453617953768967,3.55245328928681e-06
150,1,0.2,0.00047345893259697,3.7073148985423e-06
151,0,0.24,0,0
152,0.0416666666666667,0.24,1.74698915583508e-05,-1.64572754765283e-06
153,0.0833333333333333,0.24,3.59873629079417e-05,-3.03802004689786e-06
154,0.125,0.24,5.52732628041395e-05,-3.99914699017648e-06
155,0.166666666666667,0.24,7.50372628723574e-05,-4.55238481361629e-06
156,0.208333333333333,0.24,9.50487069502308e-05,-4.7990394349888e-06
157,0.25,0.24,0.00011515267358506,-4.84449265938231e-06
158,0.291666666666667,0.24,0.000135260256544395,-4.77047112234087e-06
159,0.333333333333333,0.24,0.000155329714662449,-4.63195191310596e-06
160,0.375,0.24,0.000175348091128975,-4.46277151578083e-06
161,0.416666666666667,0.24,0.000195317462442165,-4.28226294339645e-06
162,0.458333333333333,0.24,0.000215246212761272,-4.10054500624932e-06
163,0.5,0.24,0.00023514417203202,-3.92222439596467e-06
164,0.541666666666667,0.24,0.000255020277135451,-3.74882187474627e-06
165,0.583333333333333,0.24,0.000274881705552065,-3.5802837441841e-06
166,0.625,0.24,0.000294733778374673,-3.41587391077215e-06
167,0.666666666666667,0.24,0.000314580206732193,-3.25466484250997e-06
168,0.708333333333333,0.24,0.000334423445719737,-3.09578065189511e-06
169,0.75,0.24,0.000354265038761498,-2.93849540551781e-06
170,0.791666666666667,0.24,0.00037410590410842,-2.78225302216831e-06
171,0.833333333333333,0.24,0.00039394655168439,-2.62664934688443e-06
172,0.875,0.24,0.00041378723560017,-2.47139962690567e-06
173,0.916666666666667,0.24,0.000433628053779467,-2.31630318282249e-06
174,0.958333333333333,0.24,0.000453469005516787,-2.16120982530932e-06
175,1,0.24,0.000473310010881538,-2.00598951096439e-06
176,0,0.28,0,0
177,0.0416666666666667,0.28,1.76320200994673e-05,-3.50457330336669e-06
178,0.0833333333333333,0.28,3.63310341536553e-05,-6.41781026997293e-06
179,0.125,0.28,5.57150466348618e-05,-8.44528779846245e-06
180,0.166666666666667,0.28,7.54773812381532e-05,-9.67723223799918e-06
181,0.208333333333333,0.28,9.54182932145859e-05,-1.03182676056745e-05
182,0.25,0.28,0.000115421304668367,-1.05682177091911e-05
183,0.291666666666667,0.28,0.000135425619760111,-1.05823079355991e-05
184,0.333333333333333,0.28,0.000155404663790209,-1.04670773717608e-05
185,0.375,0.28,0.00017535106559687,-1.02894067607596e-05
186,0.416666666666667,0.28,0.000195266917079874,-1.00880183329163e-05
187,0.458333333333333,0.28,0.000215157997786435,-9.88332928099037e-06
188,0.5,0.28,0.000235030707748841,-9.68468537389867e-06
189,0.541666666666667,0.28,0.000254890674411363,-9.49522034806787e-06
190,0.583333333333333,0.28,0.000274742296287974,-9.31490890413805e-06
191,0.625,0.28,0.000294588752471183,-9.14236518230204e-06
192,0.666666666666667,0.28,0.000314432203806352,-8.97582446655116e-06
193,0.708333333333333,0.28,0.000334274040606654,-8.81362308600735e-06
194,0.75,0.28,0.000354115109382669,-8.65438874723305e-06
195,0.791666666666667,0.28,0.000373955894021407,-8.49707651589083e-06
