Elem,xc,yc,s11,s22,s12,e11,e22,g12
117,0.444444444444444,0.0933333333333333,99880630.0664956,-220422.243081409,-272875.018321488,0.000475936936854381,-0.000143736244109667,-3.37845260778985e-06
118,0.430555555555556,0.106666666666667,100160988.518509,-199910.959693421,-359251.124473335,0.000477242675268654,-0.000144039083405934,-4.44787106490795e-06
119,0.486111111111111,0.0933333333333333,99917065.4176322,-154781.069046155,-187781.504082982,0.000476016665420695,-0.000143475717592075,-2.32491386007502e-06
120,0.472222222222222,0.106666666666667,100092619.502392,-156825.412312362,-238160.561627549,0.000476855557743267,-0.000143736244109667,-2.94865457253155e-06
121,0.527777777777778,0.0933333333333333,99945446.9147966,-103456.345284611,-122968.260244885,0.000476078494373248,-0.000143271859141541,-1.52246417446048e-06
122,0.513888888888889,0.106666666666667,100049703.819596,-114989.54845693,-150317.185192433,0.000476591431829206,-0.000143475717592075,-1.86106991190632e-06
123,0.569444444444445,0.0933333333333333,99965969.2144062,-65947.8022776954,-76612.4290756808,0.000476122635976617,-0.000143122564602855,-9.48534836175095e-07
124,0.555555555555555,0.106666666666667,100023995.562951,-79891.7508382536,-89960.05138093,0.000476418871848584,-0.000143271859141541,-1.11379111233532e-06
125,0.611111111111111,0.0933333333333333,99979956.3034215,-39988.11646346,-45147.6799647244,0.000476152155896955,-0.000143018928607095,-5.58971275753731e-07
126,0.597222222222222,0.106666666666667,100009454.623612,-52902.1795158312,-50482.3125895723,0.000476311072749844,-0.000143122564602855,-6.25019108251848e-07
127,0.652777777777778,0.0933333333333333,99988992.9127335,-22883.348964408,-24797.7858005601,0.000476170751987728,-0.000142950386775164,-3.07020205149791e-07
128,0.638888888888889,0.106666666666667,100001857.767379,-33417.6772762612,-25903.4913912195,0.00047624706224077,-0.000143018928607095,-3.20709893415099e-07
129,0.694444444444445,0.0933333333333333,99994522.3438159,-12151.9247008301,-12265.4208128211,0.000476181752005839,-0.000142907183942122,-1.5185759101588e-07
130,0.680555555555555,0.106666666666667,99998374.7984432,-20068.783251524,-11410.5364767129,0.000476211406825803,-0.000142950386775164,-1.41273308759302e-07
131,0.736111111111111,0.0933333333333333,99997702.0912414,-5766.81814732403,-4956.96487322606,0.000476187772079455,-0.000142881321169142,-6.13719460494655e-08
132,0.722222222222222,0.106666666666667,99997186.9372116,-11352.5466821231,-3416.57500913985,0.00047619329857722,-0.000142907183942122,-4.23004524941124e-08
133,0.777777777777778,0.0933333333333333,99999389.1732083,-2188.99148768932,-975.699339812036,0.000476190694622165,-0.000142866694016429,-1.20800870643395e-08
134,0.763888888888889,0.106666666666667,99997175.4845665,-5924.80014980212,596.346601768088,0.000476185490117197,-0.000142881321169142,7.38333887903347e-09
135,0.819444444444445,0.0933333333333333,100000181.149252,-303.96740116179,982.077806236947,0.000476191773045106,-0.000142858849105604,1.21590585534098e-08
136,0.805555555555555,0.106666666666667,99997683.4920531,-2700.69583425298,2302.95574290301,0.000476183303337159,-0.000142866694016429,2.8512785388323e-08
137,0.861111111111111,0.0933333333333333,100000472.713172,673.987745605409,1755.49391131508,0.000476191764365946,-0.00014285460869622,2.17346865210438e-08
