"x","sigma_x_uniform","sigma_x_fixed","sigma_y","tau_xy"
0.491666666666667,100,100.0038714009,-0.00174213040503033,0.184052096346399
0.495833333333333,100,100.003626157656,-0.00163177094536377,0.178127046562704
0.5,100,100.003396448431,-0.001528401794038,0.172392703417914
0.504166666666667,100,100.003181289465,-0.00143158025924526,0.166842931910728
0.508333333333333,100,100.002979759276,-0.0013408916743647,0.161471794104683
0.5125,100,100.002790994722,-0.00125594762504289,0.156273542825945
0.516666666666667,100,100.002614187307,-0.00117638428827849,0.151242615560031
0.520833333333333,100,100.002448579725,-0.00110186087645421,0.146373628541455
0.525,100,100.002293462622,-0.00103205817970129,0.141661371030403
0.529166666666667,100,100.002148171556,-0.000966677200396696,0.13710079977073
0.533333333333333,100,100.002012084164,-0.000905437873982305,0.132687033623704
0.5375,100,100.00188461749,-0.000848077870660325,0.128415348372103
0.541666666666667,100,100.001765225495,-0.000794351472861322,0.124281171689399
0.545833333333333,100,100.001653396719,-0.000744028523702096,0.12028007826891
0.55,100,100.001548652093,-0.0006968934419515,0.116407785107981
0.554166666666667,100,100.001450542887,-0.000652744299304343,0.112660146942337
0.558333333333333,100,100.001358648791,-0.000611391956027852,0.109033151825963
0.5625,100,100.001272576114,-0.000572659251293118,0.105522916851929
0.566666666666667,100,100.001191956099,-0.000536380244736242,0.102125684009778
0.570833333333333,100,100.001116443347,-0.000502399506011648,0.0988378161751739
0.575,100,100.001045714332,-0.000470571449304193,0.0956557932276602
0.579166666666667,100,100.000979466022,-0.000440759709957991,0.0925762082925073
0.583333333333333,100,100.000917414579,-0.000412836560559148,0.089595764102723
0.5875,100,100.000859294142,-0.000386682363977651,0.0867112694774469
0.591666666666667,100,100.000804855691,-0.000362185061031112,0.0839196359130449
0.595833333333333,100,100.000753865979,-0.000339239690580627,0.0812178742833408
0.6,100,100.000706106533,-0.000317747940007286,0.0786030916455297
0.604166666666667,100,100.00066137272,-0.000297617724147453,0.07607248814842
0.608333333333333,100,100.000619472869,-0.000278762790886313,0.0736233540397585
0.6125,100,100.000580227448,-0.000261102351722995,0.0712530667694915
0.616666666666667,100,100.000543468302,-0.00024456073572712,0.0689590881859116
0.620833333333333,100,100.000509037923,-0.00022906706540653,0.0667389618217327
0.625,100,100.000476788785,-0.000214554953099514,0.0645903102672347
0.629166666666667,100,100.000446582704,-0.000200962216592519,0.0625108326276984
0.633333333333333,100,100.000418290251,-0.000188230612746471,0.0604983020624454
0.6375,100,100.000391790196,-0.000176305587991793,0.0585505634028806
