"x","y","sigma_x","sigma_y","tau_xy","sigma_x_uniform","sigma_y_uniform","tau_xy_uniform","eps_x_uniform","eps_y_uniform","gamma_xy_uniform","u_uniform","v_uniform","eps_x","eps_y","gamma_xy","u_fixed","v_fixed_raw","v_fixed"
0.741666666666667,-0.096,99929260.7671719,31832.6547726348,18852.7536116602,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.37142857142857e-05,0.000475808147479715,-0.0001426045027399,2.33415044715793e-07,0.000338182430451686,-1.53930560510456e-05,-1.42182632716439e-05
0.741666666666667,-0.092,99931666.7756424,30749.9509609415,19398.8771452861,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.31428571428571e-05,0.000475821151382638,-0.000142613095627294,2.40176574179733e-07,0.00033890906055609,-1.59635084335548e-05,-1.4468539217738e-05
0.741666666666667,-0.088,99934140.1918017,29636.9136892202,19925.8002181384,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.25714285714286e-05,0.000475834519608071,-0.000142621929256435,2.46700383653142e-07,0.000339642485291332,-1.65339961505806e-05,-1.470222885999e-05
0.741666666666667,-0.084,99936678.5606388,28494.6477125172,20433.0033914088,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.2e-05,0.000475848238887262,-0.000142630994859424,2.52980041988871e-07,0.000340382284845036,-1.71045201300183e-05,-1.49190444588707e-05
0.741666666666667,-0.08,99939279.3632152,27324.2865531657,20919.9869071079,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.14285714285714e-05,0.000475862295605949,-0.000142640283440054,2.5900936170705e-07,0.000341127876417726,-1.76750812637785e-05,-1.51186794695921e-05
0.741666666666667,-0.076,99941940.0192057,26126.9913574234,21386.271178064,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.08571428571429e-05,0.000475876675818088,-0.000142649785782878,2.64782405061744e-07,0.000341878511295235,-1.824568040691e-05,-1.53008476581813e-05
0.741666666666667,-0.072,99944657.8894994,24903.9497252677,21831.3972571579,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.02857142857143e-05,0.000475891365259913,-0.000142659492462498,2.70293489850526e-07,0.000342633285213513,-1.881631837676e-05,-1.54653184822143e-05
0.741666666666667,-0.068,99947430.2788564,23656.3745146,22254.9272853476,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,9.71428571428572e-06,0.000475906349364296,-0.000142669393853059,2.75537194961447e-07,0.00034339116042411,-1.93869959521722e-05,-1.56119466915155e-05
0.741666666666667,-0.064,99950254.4386197,22385.5026211341,22656.4449180613,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,9.14285714285714e-06,0.000475921613275397,-0.000142679480137928,2.80508365652187e-07,0.000344150997244752,-1.99577138727239e-05,-1.57406945700627e-05
0.741666666666667,-0.06,99953127.5694772,21092.5937352634,23035.5557295599,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,8.57142857142857e-06,0.000475937141863603,-0.000142689741319561,2.85202118556456e-07,0.000344911592416976,-2.05284728380022e-05,-1.58516457803824e-05
0.741666666666667,-0.056,99956046.8242729,19778.929077223,23391.887594899,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,8e-06,0.000475952919740713,-0.000142700167229546,2.89613846413036e-07,0.000345671721313089,-2.10992735069203e-05,-1.5945010350853e-05
0.741666666666667,-0.052,99959009.3108625,18445.8101118812,23725.0910491403,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,7.42857142857143e-06,0.000475968931275376,-0.000142710747538795,2.93739222513166e-07,0.000346430180947882,-2.16701164970755e-05,-1.60211209282651e-05
0.741666666666667,-0.048,99962012.0950122,17094.5572445086,24034.8396234921,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,6.85714285714286e-06,0.000475985160608756,-0.000142721471767901,2.97574204862283e-07,0.000347185830854481,-2.22410023841471e-05,-1.60804209673499e-05
0.741666666666667,-0.044,99965052.2033358,15726.5084988924,24320.830158082,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,6.28571428571429e-06,0.00047600159167041,-0.000142732329297628,3.01115040052444e-07,0.000347937629165142,-2.28119317013376e-05,-1.6123446013477e-05
0.741666666666667,-0.04,99968126.6262685,14343.0181791723,24582.783091091,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,5.71428571428572e-06,0.000476018208194356,-0.00014274330937953,3.0435826684208e-07,0.000348684661672923,-2.33829049388558e-05,-1.61507996269333e-05
0.741666666666667,-0.036,99971232.3210738,12945.4555167885,24820.4427240044,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,5.14285714285714e-06,0.000476034993735327,-0.000142754401146692,3.07300719440055e-07,0.000349426162206653,-2.39539225434425e-05,-1.61631257762109e-05
0.741666666666667,-0.032,99974366.2148801,11535.2033039424,25033.5774627597,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,4.57142857142857e-06,0.000476051931685185,-0.000142765593624572,3.0993953049131e-07,0.000350161523290606,-2.45249849179408e-05,-1.61610796801952e-05
0.741666666666667,-0.028,99977525.2077445,10113.6565149758,25221.980034599,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,4e-06,0.000476069005289476,-0.000142776875741945,3.12272133761702e-07,0.000350890296739155,-2.50960924209086e-05,-1.61452990999031e-05
0.741666666666667,-0.024,99980706.1757398,8682.22091708673,25385.467680459,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,3.42857142857143e-06,0.000476086197664117,-0.000142788236341928,3.14296266519969e-07,0.000351612184511494,-2.56672453662763e-05,-1.61163779726348e-05
0.741666666666667,-0.02,99983905.9740627,7242.31167179786,25523.8823227564,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,2.85714285714286e-06,0.000476103491812196,-0.000142799664193081,3.1600997161508e-07,0.000352327020779998,-2.62384440230486e-05,-1.60748440561306e-05
0.741666666666667,-0.016,99987121.4401587,5795.35192860416,25637.0907084538,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,2.28571428571429e-06,0.000476120870640857,-0.000142811148000567,3.17411599247523e-07,0.000353034746709788,-2.68096886150509e-05,-1.60211419256423e-05
0.741666666666667,-0.012,99990349.3968617,4342.77141222268,25724.9845273164,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.71428571428572e-06,0.000476138316978276,-0.000142822676417363,3.18499808433441e-07,0.000353735379874846,-2.73809793207204e-05,-1.5955622266539e-05
0.741666666666667,-0.00800000000000001,99993586.6555447,2886.00500487123,25787.4805052959,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.14285714285714e-06,0.000476155813590682,-0.000142834238055517,3.19273568160806e-07,0.000354428980524006,-2.79523162729424e-05,-1.58785379570583e-05
0.741666666666667,-0.004,99996830.0192778,1426.49132499997,25824.5204730016,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,5.71428571428572e-07,0.00047617334319943,-0.000142845821497421,3.19732158237163e-07,0.000355115617044325,-2.85236995589321e-05,-1.57900469702142e-05
0.741666666666667,0,100000076.285991,-34.3286961022136,25836.0714092478,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,0,0.000476190888498096,-0.000142857415307112,3.19875169828782e-07,0.000355795332945888,-2.90951292201606e-05,-1.56902216711252e-05
0.741666666666667,0.004,100003322.251641,-1495.01323840886,25822.1254596867,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,-5.71428571428572e-07,0.000476208432169583,-0.000142869008041575,3.1970250569136e-07,0.000356468117517065,-2.96666052523269e-05,-1.55790636749212e-05
0.741666666666667,0.00800000000000001,100006564.71337,-2954.12101655253,25782.6999305663,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,-1.14285714285714e-06,0.000476225956903215,-0.000142880588262036,3.19214380092725e-07,0.000357133881988589,-3.0238127605375e-05,-1.54565230863246e-05
0.741666666666667,0.012,100009800.472669,-4410.21270111132,25717.837257672,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,-1.71428571428571e-06,0.000476243445411807,-0.000142892144545247,3.1841131842832e-07,0.00035779244262238,-3.0809696183556e-05,-1.53225206854243e-05
0.741666666666667,0.016,100013026.338525,-5861.85233638906,25627.6049505407,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,-2.28571428571428e-06,0.000476260880448696,-0.000142903665494733,3.17294156530505e-07,0.000358443511637429,-3.13813108455349e-05,-1.51769714693893e-05
0.741666666666667,0.02,100016239.130563,-7307.60875330118,25512.095512054,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,-2.85714285714286e-06,0.000476278244824709,-0.00014291513975201,3.1586403967305e-07,0.000359086696335321,-3.1952971404543e-05,-1.50198079143092e-05
0.741666666666667,0.024,100019435.682169,-8746.05697599065,25371.4263335465,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,-3.42857142857143e-06,0.000476295521425056,-0.000142926556007746,3.1412242127248e-07,0.000359721506229199,-3.2524677628574e-05,-1.4851001385185e-05
